file,severity,score,tier,flags
cve-2017-12629-2909.yaml,critical,35,2-review,cve_tagged_missing_cve_id|single_weak_word_matcher
log4shell.yaml,critical,35,2-review,cve_tagged_missing_cve_id|single_weak_word_matcher
netgear-wnap320-rce.yaml,critical,40,2-review,single_weak_word_matcher
seeyon_fastjson.yaml,critical,40,2-review,single_weak_word_matcher
seeyon_log4j.yaml,critical,40,2-review,single_weak_word_matcher
tableau-log4j-rce.yaml,critical,40,2-review,single_weak_word_matcher
ueditor-uploadVul.yaml,critical,40,2-review,single_weak_word_matcher
vmware-workspace-one-log4j-rce.yaml,critical,40,2-review,single_weak_word_matcher
cve-2017-3881-3017.yaml,critical,45,2-review,cve_tagged_missing_cve_id|no_http_block
cve-2020-7247-5247.yaml,critical,45,2-review,cve_tagged_missing_cve_id|no_http_block
CVE-2018-0101.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
apache-solr-log4j-CVE-2021-44228.yaml,critical,50,3-acceptable,single_weak_word_matcher|active_probe_path
cisco-rv-series-rce.yaml,critical,50,3-acceptable,single_weak_word_matcher
cve-2017-1000486-2847.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
cve-2017-12149-2883.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
cve-2017-5638-3032.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
cve-2020-15505-4613.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
cve-2021-26855-5890.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id
exposed-adb-7281.yaml,critical,50,3-acceptable,no_http_block
ftp-default-creds.yaml,critical,50,3-acceptable,no_http_block
jamf-pro-log4j.yaml,critical,50,3-acceptable,cve_tagged_missing_cve_id|single_weak_word_matcher|has_regex_matcher
malware-aar.yaml,critical,50,3-acceptable,no_http_block
malware-adzok.yaml,critical,50,3-acceptable,no_http_block
malware-alfa.yaml,critical,50,3-acceptable,no_http_block
malware-alienspy.yaml,critical,50,3-acceptable,no_http_block
malware-alina.yaml,critical,50,3-acceptable,no_http_block
malware-alpha.yaml,critical,50,3-acceptable,no_http_block
malware-andromeda.yaml,critical,50,3-acceptable,no_http_block
malware-ap0calypse.yaml,critical,50,3-acceptable,no_http_block
malware-arcom.yaml,critical,50,3-acceptable,no_http_block
malware-arkei.yaml,critical,50,3-acceptable,no_http_block
malware-backoff.yaml,critical,50,3-acceptable,no_http_block
malware-bandook.yaml,critical,50,3-acceptable,no_http_block
malware-blacknix.yaml,critical,50,3-acceptable,no_http_block
malware-blackworm.yaml,critical,50,3-acceptable,no_http_block
malware-bluebanana.yaml,critical,50,3-acceptable,no_http_block
malware-bozok.yaml,critical,50,3-acceptable,no_http_block
malware-bublik.yaml,critical,50,3-acceptable,no_http_block
malware-cap-hookexkeylogger.yaml,critical,50,3-acceptable,no_http_block
malware-cerberus.yaml,critical,50,3-acceptable,no_http_block
malware-clientmesh.yaml,critical,50,3-acceptable,no_http_block
malware-crimson.yaml,critical,50,3-acceptable,no_http_block
malware-cryptxxx-dropper.yaml,critical,50,3-acceptable,no_http_block
malware-cryptxxx.yaml,critical,50,3-acceptable,no_http_block
malware-cxpid.yaml,critical,50,3-acceptable,no_http_block
